name,dataSubtype,dataType,fileFormat,resourceType,studyId,nf2Genotype,modifiedBy,diagnosis,studyName,accessType,assay,species,fundingAgency,isCellLine,initiative,progressReportNumber
202908540037_R03C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430050_R08C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915600104_R04C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915600104_R08C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915420028_R04C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915420028_R01C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430125_R01C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202915420028_R05C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908430125_R07C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
202908540037_R06C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
Sample_Sheet_Met450_07_11.csv,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
10005833161_R06C01_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
10005833161_R02C02_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
10005833161_R02C02_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
10005833161_R01C02_Grn.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
10005833161_R01C02_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
10005833161_R06C01_Red.idat,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
SampleSheet_EPIC_05.csv,raw,chromatinActivity,idat,experimentalData,syn4939918,+/+,3421893,Neurofibromatosis type 1,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,REQUEST ACCESS,methylation array,Homo sapiens,NTAP,Yes,Open Proposal Program,0.0
synapse_storage_manifest.csv,,,,,syn4939918,,3423450,,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,,,,NTAP,,Open Proposal Program,
